episode,model,seed,elapsed_seconds,moving_avg_score,model_size,device,score,steps,reward,epsilon,loss
1,greedy,2,0.0009,12.0,0,cpu,12,81,116.12,0.0,0.0
2,greedy,2,0.0032,20.0,0,cpu,28,195,283.74,0.0,0.0
3,greedy,2,0.0046,18.0,0,cpu,14,138,141.07,0.0,0.0
4,greedy,2,0.006,16.75,0,cpu,13,131,128.73,0.0,0.0
5,greedy,2,0.0074,16.4,0,cpu,15,129,146.17,0.0,0.0
6,greedy,2,0.0088,16.5,0,cpu,17,129,168.99,0.0,0.0
7,greedy,2,0.0099,15.8571,0,cpu,12,104,115.19,0.0,0.0
8,greedy,2,0.0101,14.125,0,cpu,2,14,9.99,0.0,0.0
9,greedy,2,0.0116,14.3333,0,cpu,16,140,155.87,0.0,0.0
10,greedy,2,0.0128,14.3,0,cpu,14,123,139.12,0.0,0.0
11,greedy,2,0.0138,14.0909,0,cpu,12,89,116.24,0.0,0.0
12,greedy,2,0.014,13.25,0,cpu,4,21,31.44,0.0,0.0
13,greedy,2,0.0158,13.7692,0,cpu,20,135,198.86,0.0,0.0
14,greedy,2,0.0174,14.0714,0,cpu,18,149,180.3,0.0,0.0
15,greedy,2,0.0192,14.3333,0,cpu,18,165,180.94,0.0,0.0
16,greedy,2,0.0209,14.4375,0,cpu,16,170,159.37,0.0,0.0
17,greedy,2,0.0227,14.8235,0,cpu,21,152,210.3,0.0,0.0
18,greedy,2,0.0245,15.0556,0,cpu,19,157,187.93,0.0,0.0
19,greedy,2,0.0258,15.1053,0,cpu,16,113,156.04,0.0,0.0
20,greedy,2,0.0271,15.1,0,cpu,15,126,149.9,0.0,0.0
21,greedy,2,0.0282,15.2381,0,cpu,18,90,174.99,0.0,0.0
22,greedy,2,0.0304,15.5,0,cpu,21,198,214.04,0.0,0.0
23,greedy,2,0.0325,15.8696,0,cpu,24,165,240.0,0.0,0.0
24,greedy,2,0.0344,16.125,0,cpu,22,162,221.51,0.0,0.0
25,greedy,2,0.0373,16.88,0,cpu,35,229,354.77,0.0,0.0
26,greedy,2,0.0382,16.6538,0,cpu,11,85,106.17,0.0,0.0
27,greedy,2,0.0395,16.4815,0,cpu,12,111,118.22,0.0,0.0
