episode,model,seed,elapsed_seconds,moving_avg_score,model_size,device,score,steps,reward,epsilon,loss
1,lightweight_snake_ddqn,1,0.0002,1.0,9412,cpu,1,21,0.11,0.99601,0.0
2,lightweight_snake_ddqn,1,0.0006,1.0,9412,cpu,1,34,0.08,0.98955,0.0
3,lightweight_snake_ddqn,1,0.0007,0.6667,9412,cpu,0,14,-10.63,0.98689,0.0
4,lightweight_snake_ddqn,1,0.0008,0.5,9412,cpu,0,12,-10.81,0.98461,0.0
5,lightweight_snake_ddqn,1,0.001,0.4,9412,cpu,0,17,-10.76,0.98138,0.0
6,lightweight_snake_ddqn,1,0.0049,0.3333,9412,cpu,0,9,-10.88,0.97967,0.895065
7,lightweight_snake_ddqn,1,0.0223,0.2857,9412,cpu,0,39,-10.38,0.97226,0.008767
8,lightweight_snake_ddqn,1,0.0291,0.25,9412,cpu,0,15,-9.94,0.96941,1.13921
9,lightweight_snake_ddqn,1,0.0452,0.2222,9412,cpu,0,36,-10.45,0.96257,0.290159
10,lightweight_snake_ddqn,1,0.0522,0.4,9412,cpu,2,16,10.57,0.95953,0.574573
11,lightweight_snake_ddqn,1,0.0666,0.4545,9412,cpu,1,33,-0.81,0.95326,0.738697
12,lightweight_snake_ddqn,1,0.0793,0.4167,9412,cpu,0,29,-11.08,0.94775,0.013491
13,lightweight_snake_ddqn,1,0.087,0.4615,9412,cpu,1,17,0.35,0.94452,0.632372
14,lightweight_snake_ddqn,1,0.0953,0.4286,9412,cpu,0,19,-10.18,0.94091,0.52553
15,lightweight_snake_ddqn,1,0.0988,0.4,9412,cpu,0,8,-10.57,0.93939,0.455209
16,lightweight_snake_ddqn,1,0.112,0.4375,9412,cpu,1,30,0.12,0.93369,0.416895
17,lightweight_snake_ddqn,1,0.1225,0.4118,9412,cpu,0,24,-10.53,0.92913,0.3293
18,lightweight_snake_ddqn,1,0.1252,0.3889,9412,cpu,0,6,-10.55,0.92799,0.055468
19,lightweight_snake_ddqn,1,0.1427,0.4211,9412,cpu,1,40,0.02,0.92039,0.268009
