episode,model,seed,elapsed_seconds,moving_avg_score,model_size,device,score,steps,reward,epsilon,loss
1,random,2,0.0002,0.0,0,cpu,0,18,-10.27,0.0,0.0
2,random,2,0.0004,0.0,0,cpu,0,28,-10.37,0.0,0.0
3,random,2,0.0005,0.0,0,cpu,0,10,-10.19,0.0,0.0
4,random,2,0.0006,0.25,0,cpu,1,11,0.21,0.0,0.0
5,random,2,0.0007,0.2,0,cpu,0,10,-10.79,0.0,0.0
6,random,2,0.0011,0.3333,0,cpu,1,42,-0.2,0.0,0.0
7,random,2,0.0012,0.2857,0,cpu,0,22,-10.71,0.0,0.0
8,random,2,0.0013,0.25,0,cpu,0,9,-9.68,0.0,0.0
9,random,2,0.0014,0.2222,0,cpu,0,9,-10.88,0.0,0.0
10,random,2,0.0016,0.2,0,cpu,0,24,-10.73,0.0,0.0
11,random,2,0.0017,0.1818,0,cpu,0,12,-10.81,0.0,0.0
12,random,2,0.0021,0.1667,0,cpu,0,49,-10.48,0.0,0.0
13,random,2,0.0027,0.2308,0,cpu,1,77,-0.45,0.0,0.0
14,random,2,0.0029,0.2857,0,cpu,1,20,0.62,0.0,0.0
15,random,2,0.003,0.2667,0,cpu,0,18,-10.67,0.0,0.0
16,random,2,0.0031,0.25,0,cpu,0,8,-10.17,0.0,0.0
17,random,2,0.0032,0.2353,0,cpu,0,14,-10.63,0.0,0.0
18,random,2,0.0035,0.2222,0,cpu,0,34,-10.23,0.0,0.0
19,random,2,0.0036,0.2105,0,cpu,0,8,-10.57,0.0,0.0
20,random,2,0.0037,0.2,0,cpu,0,13,-10.32,0.0,0.0
21,random,2,0.0039,0.1905,0,cpu,0,18,-10.47,0.0,0.0
22,random,2,0.0041,0.1818,0,cpu,0,35,-10.94,0.0,0.0
23,random,2,0.0042,0.1739,0,cpu,0,9,-9.68,0.0,0.0
24,random,2,0.0044,0.1667,0,cpu,0,22,-9.91,0.0,0.0
25,random,2,0.0045,0.16,0,cpu,0,10,-10.79,0.0,0.0
26,random,2,0.0046,0.1538,0,cpu,0,11,-9.7,0.0,0.0
27,random,2,0.0047,0.1481,0,cpu,0,13,-10.52,0.0,0.0
28,random,2,0.0052,0.1429,0,cpu,0,54,-11.03,0.0,0.0
29,random,2,0.0054,0.2069,0,cpu,2,18,9.95,0.0,0.0
30,random,2,0.0055,0.2,0,cpu,0,19,-10.98,0.0,0.0
31,random,2,0.0056,0.1935,0,cpu,0,8,-10.37,0.0,0.0
32,random,2,0.0057,0.1875,0,cpu,0,8,-10.17,0.0,0.0
33,random,2,0.0063,0.2121,0,cpu,1,83,-0.51,0.0,0.0
34,random,2,0.0064,0.2059,0,cpu,0,15,-10.54,0.0,0.0
35,random,2,0.0065,0.2,0,cpu,0,8,-10.37,0.0,0.0
36,random,2,0.0067,0.1944,0,cpu,0,24,-10.33,0.0,0.0
37,random,2,0.0069,0.1892,0,cpu,0,18,-10.87,0.0,0.0
38,random,2,0.007,0.1842,0,cpu,0,14,-10.83,0.0,0.0
39,random,2,0.0072,0.1795,0,cpu,0,31,-11.1,0.0,0.0
40,random,2,0.0076,0.175,0,cpu,0,44,-10.13,0.0,0.0
41,random,2,0.0077,0.1707,0,cpu,0,13,-10.32,0.0,0.0
42,random,2,0.0078,0.1667,0,cpu,0,18,-11.07,0.0,0.0
43,random,2,0.008,0.1628,0,cpu,0,14,-10.63,0.0,0.0
44,random,2,0.0081,0.1591,0,cpu,0,14,-10.63,0.0,0.0
45,random,2,0.0082,0.1556,0,cpu,0,22,-10.71,0.0,0.0
46,random,2,0.0083,0.1522,0,cpu,0,10,-10.59,0.0,0.0
47,random,2,0.0085,0.1489,0,cpu,0,15,-10.94,0.0,0.0
48,random,2,0.0086,0.1458,0,cpu,0,10,-10.79,0.0,0.0
49,random,2,0.0087,0.1429,0,cpu,0,10,-10.79,0.0,0.0
50,random,2,0.0087,0.14,0,cpu,0,10,-10.79,0.0,0.0
51,random,2,0.0088,0.14,0,cpu,0,10,-9.99,0.0,0.0
52,random,2,0.0091,0.14,0,cpu,0,29,-10.88,0.0,0.0
53,random,2,0.0093,0.16,0,cpu,1,30,0.12,0.0,0.0
54,random,2,0.0095,0.14,0,cpu,0,18,-10.47,0.0,0.0
55,random,2,0.0097,0.14,0,cpu,0,28,-10.97,0.0,0.0
56,random,2,0.0098,0.12,0,cpu,0,10,-9.79,0.0,0.0
57,random,2,0.0099,0.14,0,cpu,1,18,-0.36,0.0,0.0
58,random,2,0.0101,0.14,0,cpu,0,20,-9.69,0.0,0.0
59,random,2,0.0103,0.14,0,cpu,0,21,-11.0,0.0,0.0
