episode,model,seed,elapsed_seconds,moving_avg_score,model_size,device,score,steps,reward,epsilon,loss
1,q_learning,1,0.0005,1.0,48,cpu,1,32,-0.9,0.995,0.0
2,q_learning,1,0.0007,0.5,63,cpu,0,14,-10.43,0.99003,0.0
3,q_learning,1,0.001,0.3333,75,cpu,0,25,-11.04,0.98507,0.0
4,q_learning,1,0.0012,0.25,84,cpu,0,11,-9.7,0.98015,0.0
5,q_learning,1,0.0013,0.2,102,cpu,0,12,-10.41,0.97525,0.0
6,q_learning,1,0.002,0.3333,138,cpu,1,49,-0.57,0.97037,0.0
7,q_learning,1,0.0023,0.2857,150,cpu,0,26,-10.35,0.96552,0.0
8,q_learning,1,0.0026,0.25,153,cpu,0,16,-10.45,0.96069,0.0
9,q_learning,1,0.0027,0.2222,159,cpu,0,8,-10.37,0.95589,0.0
10,q_learning,1,0.0029,0.2,165,cpu,0,13,-10.32,0.95111,0.0
11,q_learning,1,0.003,0.1818,168,cpu,0,14,-10.63,0.94635,0.0
12,q_learning,1,0.0033,0.1667,171,cpu,0,24,-9.93,0.94162,0.0
13,q_learning,1,0.0035,0.1538,177,cpu,0,10,-9.59,0.93691,0.0
14,q_learning,1,0.0037,0.1429,177,cpu,0,13,-9.92,0.93223,0.0
15,q_learning,1,0.0039,0.1333,189,cpu,0,18,-10.47,0.92757,0.0
16,q_learning,1,0.004,0.125,192,cpu,0,6,-9.75,0.92293,0.0
17,q_learning,1,0.0044,0.1176,192,cpu,0,27,-10.86,0.91832,0.0
18,q_learning,1,0.0047,0.1667,198,cpu,1,19,0.13,0.91372,0.0
19,q_learning,1,0.0051,0.1579,207,cpu,0,33,-10.92,0.90916,0.0
20,q_learning,1,0.0053,0.2,210,cpu,1,13,0.39,0.90461,0.0
21,q_learning,1,0.0055,0.1905,210,cpu,0,13,-10.32,0.90009,0.0
22,q_learning,1,0.0058,0.2273,210,cpu,1,22,0.0,0.89559,0.0
23,q_learning,1,0.006,0.2174,210,cpu,0,9,-9.68,0.89111,0.0
24,q_learning,1,0.0061,0.2083,210,cpu,0,10,-9.79,0.88665,0.0
25,q_learning,1,0.0064,0.2,213,cpu,0,20,-10.89,0.88222,0.0
26,q_learning,1,0.0066,0.1923,216,cpu,0,15,-9.94,0.87781,0.0
27,q_learning,1,0.0068,0.1852,219,cpu,0,12,-9.81,0.87342,0.0
28,q_learning,1,0.0069,0.1786,219,cpu,0,6,-10.55,0.86905,0.0
29,q_learning,1,0.0071,0.1724,219,cpu,0,14,-10.63,0.86471,0.0
30,q_learning,1,0.0073,0.1667,219,cpu,0,16,-10.05,0.86038,0.0
31,q_learning,1,0.0076,0.1613,219,cpu,0,19,-10.58,0.85608,0.0
32,q_learning,1,0.0078,0.1875,231,cpu,1,15,0.57,0.8518,0.0
33,q_learning,1,0.0083,0.2121,240,cpu,1,39,-0.07,0.84754,0.0
34,q_learning,1,0.0087,0.2353,261,cpu,1,22,0.8,0.84331,0.0
35,q_learning,1,0.0093,0.2286,264,cpu,0,48,-10.57,0.83909,0.0
36,q_learning,1,0.0096,0.2222,264,cpu,0,17,-10.56,0.83489,0.0
37,q_learning,1,0.0101,0.2432,270,cpu,1,15,-0.63,0.83072,0.0
38,q_learning,1,0.0105,0.2368,273,cpu,0,26,-10.15,0.82657,0.0
39,q_learning,1,0.0114,0.2564,288,cpu,1,69,-1.37,0.82243,0.0
40,q_learning,1,0.0119,0.25,288,cpu,0,36,-10.85,0.81832,0.0
41,q_learning,1,0.0126,0.2439,291,cpu,0,48,-10.57,0.81423,0.0
42,q_learning,1,0.0133,0.2619,318,cpu,1,44,-0.62,0.81016,0.0
43,q_learning,1,0.0137,0.3256,330,cpu,3,23,20.11,0.80611,0.0
44,q_learning,1,0.0141,0.3409,339,cpu,1,31,-0.39,0.80208,0.0
45,q_learning,1,0.0145,0.3333,339,cpu,0,26,-10.55,0.79807,0.0
46,q_learning,1,0.0147,0.3696,348,cpu,2,11,9.92,0.79408,0.0
47,q_learning,1,0.0149,0.383,354,cpu,1,14,0.48,0.7901,0.0
48,q_learning,1,0.0153,0.4375,372,cpu,3,28,20.16,0.78615,0.0
49,q_learning,1,0.0155,0.4286,372,cpu,0,15,-10.54,0.78222,0.0
50,q_learning,1,0.0156,0.42,372,cpu,0,6,-10.55,0.77831,0.0
51,q_learning,1,0.0159,0.4,375,cpu,0,21,-9.8,0.77442,0.0
52,q_learning,1,0.0161,0.4,381,cpu,0,9,-9.28,0.77055,0.0
53,q_learning,1,0.017,0.42,390,cpu,1,69,-0.97,0.7667,0.0
54,q_learning,1,0.0176,0.44,399,cpu,1,40,0.02,0.76286,0.0
55,q_learning,1,0.0178,0.44,399,cpu,0,15,-9.94,0.75905,0.0
56,q_learning,1,0.0182,0.44,402,cpu,1,24,0.38,0.75525,0.0
57,q_learning,1,0.0186,0.48,414,cpu,2,27,9.96,0.75148,0.0
58,q_learning,1,0.0189,0.5,414,cpu,1,17,0.35,0.74772,0.0
59,q_learning,1,0.0191,0.52,417,cpu,1,16,0.46,0.74398,0.0
60,q_learning,1,0.0193,0.52,417,cpu,0,15,-10.74,0.74026,0.0
61,q_learning,1,0.0194,0.52,417,cpu,0,7,-9.46,0.73656,0.0
62,q_learning,1,0.0201,0.54,423,cpu,1,46,0.56,0.73288,0.0
63,q_learning,1,0.0204,0.56,426,cpu,1,21,0.51,0.72921,0.0
64,q_learning,1,0.0206,0.56,426,cpu,0,12,-10.01,0.72557,0.0
65,q_learning,1,0.0209,0.56,432,cpu,0,15,-9.74,0.72194,0.0
66,q_learning,1,0.0213,0.56,432,cpu,0,28,-10.77,0.71833,0.0
67,q_learning,1,0.0214,0.56,432,cpu,0,11,-10.5,0.71474,0.0
68,q_learning,1,0.0219,0.54,432,cpu,0,32,-10.81,0.71116,0.0
69,q_learning,1,0.0223,0.56,438,cpu,1,28,-0.06,0.70761,0.0
70,q_learning,1,0.0225,0.54,444,cpu,0,13,-9.92,0.70407,0.0
71,q_learning,1,0.0229,0.56,450,cpu,1,21,0.11,0.70055,0.0
72,q_learning,1,0.0232,0.54,450,cpu,0,21,-9.8,0.69705,0.0
73,q_learning,1,0.0235,0.54,450,cpu,0,21,-9.6,0.69356,0.0
74,q_learning,1,0.0236,0.54,453,cpu,0,11,-10.3,0.69009,0.0
75,q_learning,1,0.0241,0.54,453,cpu,0,29,-9.68,0.68664,0.0
76,q_learning,1,0.0242,0.54,453,cpu,0,8,-9.97,0.68321,0.0
77,q_learning,1,0.0249,0.54,456,cpu,0,55,-10.34,0.67979,0.0
78,q_learning,1,0.0252,0.54,459,cpu,0,13,-9.72,0.67639,0.0
79,q_learning,1,0.0255,0.56,462,cpu,1,26,-0.64,0.67301,0.0
80,q_learning,1,0.0257,0.56,465,cpu,0,8,-9.77,0.66965,0.0
81,q_learning,1,0.026,0.58,471,cpu,1,20,0.02,0.6663,0.0
82,q_learning,1,0.0262,0.56,471,cpu,0,13,-9.92,0.66297,0.0
83,q_learning,1,0.0264,0.54,471,cpu,0,17,-9.96,0.65965,0.0
84,q_learning,1,0.0269,0.54,474,cpu,1,32,0.5,0.65635,0.0
85,q_learning,1,0.0276,0.58,480,cpu,2,45,10.38,0.65307,0.0
86,q_learning,1,0.028,0.62,483,cpu,2,25,10.38,0.64981,0.0
87,q_learning,1,0.0281,0.62,483,cpu,1,6,0.36,0.64656,0.0
88,q_learning,1,0.0283,0.62,486,cpu,0,12,-10.01,0.64333,0.0
89,q_learning,1,0.0289,0.64,489,cpu,2,36,11.37,0.64011,0.0
90,q_learning,1,0.0296,0.68,495,cpu,2,43,11.0,0.63691,0.0
91,q_learning,1,0.03,0.7,498,cpu,1,33,0.39,0.63372,0.0
92,q_learning,1,0.0304,0.7,504,cpu,1,25,0.27,0.63056,0.0
93,q_learning,1,0.0306,0.64,507,cpu,0,14,-9.63,0.6274,0.0
94,q_learning,1,0.0316,0.66,513,cpu,2,70,10.63,0.62427,0.0
95,q_learning,1,0.032,0.68,516,cpu,1,24,0.18,0.62114,0.0
96,q_learning,1,0.0327,0.66,522,cpu,1,47,0.85,0.61804,0.0
97,q_learning,1,0.033,0.66,525,cpu,1,20,-0.38,0.61495,0.0
98,q_learning,1,0.0332,0.62,525,cpu,1,13,0.59,0.61187,0.0
99,q_learning,1,0.0335,0.62,525,cpu,0,18,-9.87,0.60881,0.0
100,q_learning,1,0.0338,0.64,525,cpu,1,19,0.33,0.60577,0.0
101,q_learning,1,0.0339,0.64,525,cpu,0,8,-9.57,0.60274,0.0
102,q_learning,1,0.034,0.64,525,cpu,0,10,-9.79,0.59973,0.0
103,q_learning,1,0.0342,0.62,525,cpu,0,11,-9.7,0.59673,0.0
104,q_learning,1,0.0346,0.64,525,cpu,2,28,10.45,0.59375,0.0
105,q_learning,1,0.035,0.68,525,cpu,2,26,10.47,0.59078,0.0
106,q_learning,1,0.0352,0.66,525,cpu,0,7,-9.66,0.58782,0.0
107,q_learning,1,0.0356,0.66,525,cpu,2,29,11.34,0.58488,0.0
108,q_learning,1,0.0366,0.68,531,cpu,2,60,9.53,0.58196,0.0
109,q_learning,1,0.0371,0.7,534,cpu,2,35,11.08,0.57905,0.0
110,q_learning,1,0.0377,0.74,537,cpu,2,37,10.26,0.57615,0.0
111,q_learning,1,0.0379,0.76,537,cpu,1,15,0.37,0.57327,0.0
112,q_learning,1,0.039,0.78,546,cpu,2,68,10.65,0.57041,0.0
113,q_learning,1,0.0391,0.8,549,cpu,2,9,10.34,0.56756,0.0
114,q_learning,1,0.0406,0.86,558,cpu,3,97,20.57,0.56472,0.0
115,q_learning,1,0.0409,0.88,558,cpu,1,19,0.53,0.56189,0.0
116,q_learning,1,0.0411,0.9,558,cpu,1,12,-0.1,0.55908,0.0
117,q_learning,1,0.0413,0.9,561,cpu,0,14,-9.43,0.55629,0.0
118,q_learning,1,0.0417,0.94,567,cpu,2,23,10.8,0.55351,0.0
119,q_learning,1,0.0424,0.96,570,cpu,2,48,10.45,0.55074,0.0
120,q_learning,1,0.0429,1.0,570,cpu,2,33,10.3,0.54799,0.0
121,q_learning,1,0.0433,0.98,570,cpu,0,24,-9.53,0.54525,0.0
122,q_learning,1,0.0434,0.98,570,cpu,0,6,-9.55,0.54252,0.0
123,q_learning,1,0.0443,1.02,576,cpu,2,58,11.55,0.53981,0.0
124,q_learning,1,0.0445,1.02,579,cpu,0,16,-9.65,0.53711,0.0
125,q_learning,1,0.0448,1.04,582,cpu,1,15,0.37,0.53442,0.0
126,q_learning,1,0.0452,1.08,585,cpu,2,24,10.69,0.53175,0.0
127,q_learning,1,0.0453,1.1,585,cpu,1,7,0.45,0.52909,0.0
128,q_learning,1,0.0464,1.2,606,cpu,5,66,41.0,0.52645,0.0
129,q_learning,1,0.0465,1.18,606,cpu,0,6,-9.75,0.52381,0.0
130,q_learning,1,0.0467,1.22,615,cpu,2,12,10.41,0.5212,0.0
