episode,model,seed,elapsed_seconds,moving_avg_score,model_size,device,score,steps,reward,epsilon,loss
1,double_dqn,3,0.0002,0.0,18563,cpu,0,19,-10.78,0.99639,0.0
2,double_dqn,3,0.0007,0.0,18563,cpu,0,52,-11.21,0.98651,0.0
3,double_dqn,3,0.0008,0.0,18563,cpu,0,6,-10.15,0.98537,0.0
4,double_dqn,3,0.0009,0.0,18563,cpu,0,7,-10.66,0.98404,0.0
5,double_dqn,3,0.0041,0.0,18563,cpu,0,23,-10.82,0.97967,0.006839
6,double_dqn,3,0.0143,0.0,18563,cpu,0,29,-10.08,0.97416,0.287542
7,double_dqn,3,0.0232,0.0,18563,cpu,0,25,-10.44,0.96941,0.527231
8,double_dqn,3,0.0285,0.0,18563,cpu,0,15,-10.74,0.96656,1.035106
9,double_dqn,3,0.0322,0.0,18563,cpu,0,10,-9.39,0.96466,0.501595
10,double_dqn,3,0.042,0.0,18563,cpu,0,28,-9.97,0.95934,0.324184
11,double_dqn,3,0.058,0.0909,18563,cpu,1,46,-0.64,0.9506,0.032155
12,double_dqn,3,0.0601,0.0833,18563,cpu,0,6,-10.35,0.94946,0.172497
13,double_dqn,3,0.0724,0.0769,18563,cpu,0,34,-10.03,0.943,0.037799
14,double_dqn,3,0.0899,0.0714,18563,cpu,0,50,-10.59,0.9335,0.01684
15,double_dqn,3,0.0933,0.0667,18563,cpu,0,10,-9.79,0.9316,0.012304
16,double_dqn,3,0.1014,0.0625,18563,cpu,0,23,-10.62,0.92723,0.011593
17,double_dqn,3,0.121,0.1176,18563,cpu,1,56,0.26,0.91659,0.290877
18,double_dqn,3,0.1238,0.1111,18563,cpu,0,8,-10.77,0.91507,0.281537
19,double_dqn,3,0.135,0.2105,18563,cpu,2,32,10.41,0.90899,0.342647
20,double_dqn,3,0.1482,0.2,18563,cpu,0,37,-10.96,0.90196,0.044233
21,double_dqn,3,0.1563,0.2381,18563,cpu,1,23,0.69,0.89759,0.05466
22,double_dqn,3,0.1622,0.2273,18563,cpu,0,17,-9.96,0.89436,0.02876
23,double_dqn,3,0.1694,0.2609,18563,cpu,1,21,0.31,0.89037,0.008501
24,double_dqn,3,0.1719,0.25,18563,cpu,0,7,-10.26,0.88904,0.303855
25,double_dqn,3,0.1803,0.24,18563,cpu,0,24,-10.33,0.88448,0.012798
26,double_dqn,3,0.1848,0.3077,18563,cpu,2,13,10.1,0.88201,0.577138
27,double_dqn,3,0.1891,0.3333,18563,cpu,1,12,0.3,0.87973,0.011139
28,double_dqn,3,0.2028,0.3214,18563,cpu,0,40,-10.69,0.87213,0.041649
29,double_dqn,3,0.2123,0.3103,18563,cpu,0,27,-10.26,0.867,0.03059
30,double_dqn,3,0.222,0.3,18563,cpu,0,28,-9.77,0.86168,0.308582
31,double_dqn,3,0.2247,0.2903,18563,cpu,0,8,-10.37,0.86016,0.643343
32,double_dqn,3,0.2339,0.2812,18563,cpu,0,26,-9.55,0.85522,0.173488
33,double_dqn,3,0.2363,0.2727,18563,cpu,0,7,-9.66,0.85389,0.876813
34,double_dqn,3,0.2439,0.2647,18563,cpu,0,22,-10.71,0.84971,0.035026
35,double_dqn,3,0.2468,0.2571,18563,cpu,0,8,-9.77,0.84819,0.025361
36,double_dqn,3,0.2543,0.25,18563,cpu,0,21,-9.8,0.8442,0.110489
37,double_dqn,3,0.2618,0.2432,18563,cpu,0,22,-10.91,0.84002,0.321071
38,double_dqn,3,0.2666,0.2368,18563,cpu,0,13,-9.72,0.83755,0.039377
39,double_dqn,3,0.2722,0.2308,18563,cpu,0,16,-9.85,0.83451,0.298703
40,double_dqn,3,0.2802,0.25,18563,cpu,1,23,0.29,0.83014,0.298432
41,double_dqn,3,0.2964,0.2683,18563,cpu,1,46,0.36,0.8214,0.012833
42,double_dqn,3,0.3161,0.2619,18563,cpu,0,56,-10.85,0.81076,0.012113
43,double_dqn,3,0.3227,0.2791,18563,cpu,1,18,0.04,0.80734,0.011952
44,double_dqn,3,0.3361,0.2955,18563,cpu,1,39,-0.27,0.79993,0.024045
45,double_dqn,3,0.3389,0.2889,18563,cpu,0,8,-10.17,0.79841,0.02532
46,double_dqn,3,0.3468,0.2826,18563,cpu,0,23,-10.22,0.79404,0.234576
47,double_dqn,3,0.3489,0.2766,18563,cpu,0,6,-10.35,0.7929,0.03114
48,double_dqn,3,0.352,0.2708,18563,cpu,0,9,-10.08,0.79119,0.010616
49,double_dqn,3,0.3634,0.2857,18563,cpu,1,33,-1.21,0.78492,0.026103
50,double_dqn,3,0.3665,0.28,18563,cpu,0,9,-10.88,0.78321,0.326092
51,double_dqn,3,0.3842,0.32,18563,cpu,2,51,10.12,0.77352,0.323529
52,double_dqn,3,0.391,0.32,18563,cpu,0,19,-11.18,0.76991,0.013602
53,double_dqn,3,0.4037,0.34,18563,cpu,1,37,-0.45,0.76288,0.05042
54,double_dqn,3,0.409,0.36,18563,cpu,1,15,0.57,0.76003,0.791926
55,double_dqn,3,0.4134,0.36,18563,cpu,0,12,-9.61,0.75775,0.056649
56,double_dqn,3,0.4523,0.42,18563,cpu,3,111,19.63,0.73666,0.015735
57,double_dqn,3,0.4686,0.44,18563,cpu,1,46,-0.04,0.72792,0.053931
58,double_dqn,3,0.4742,0.46,18563,cpu,1,16,0.26,0.72488,0.018372
59,double_dqn,3,0.478,0.46,18563,cpu,0,11,-10.9,0.72279,0.023159
60,double_dqn,3,0.4826,0.46,18563,cpu,0,13,-10.52,0.72032,0.286336
61,double_dqn,3,0.4946,0.46,18563,cpu,1,34,1.48,0.71386,0.061632
62,double_dqn,3,0.4992,0.48,18563,cpu,1,13,0.39,0.71139,0.605577
63,double_dqn,3,0.503,0.48,18563,cpu,0,11,-10.1,0.7093,0.119763
64,double_dqn,3,0.5055,0.48,18563,cpu,0,7,-10.26,0.70797,0.04257
65,double_dqn,3,0.5187,0.5,18563,cpu,1,38,0.44,0.70075,0.058425
66,double_dqn,3,0.5257,0.52,18563,cpu,1,20,0.22,0.69695,0.589111
67,double_dqn,3,0.5471,0.54,18563,cpu,2,61,11.22,0.68536,0.290087
68,double_dqn,3,0.5609,0.58,18563,cpu,2,39,9.84,0.67795,0.047532
69,double_dqn,3,0.5669,0.54,18563,cpu,0,17,-10.36,0.67472,0.02704
70,double_dqn,3,0.5838,0.56,18563,cpu,1,48,-0.06,0.6656,0.297708
71,double_dqn,3,0.5902,0.54,18563,cpu,0,18,-9.87,0.66218,0.013307
72,double_dqn,3,0.5923,0.56,18563,cpu,1,6,0.36,0.66104,0.014533
73,double_dqn,3,0.5994,0.56,18563,cpu,1,20,0.02,0.65724,0.269558
74,double_dqn,3,0.6035,0.56,18563,cpu,0,12,-9.81,0.65496,0.31183
75,double_dqn,3,0.6068,0.58,18563,cpu,1,9,0.43,0.65325,0.012798
76,double_dqn,3,0.6124,0.54,18563,cpu,0,16,-9.65,0.65021,0.032142
77,double_dqn,3,0.6198,0.56,18563,cpu,2,21,9.82,0.64622,0.590051
78,double_dqn,3,0.6334,0.58,18563,cpu,1,38,-0.16,0.639,0.015421
79,double_dqn,3,0.6378,0.58,18563,cpu,0,12,-10.01,0.63672,0.01531
80,double_dqn,3,0.6404,0.58,18563,cpu,0,7,-9.66,0.63539,0.298466
81,double_dqn,3,0.6475,0.62,18563,cpu,2,19,10.84,0.63178,0.009731
82,double_dqn,3,0.6601,0.64,18563,cpu,1,35,0.17,0.62513,0.298483
83,double_dqn,3,0.6643,0.64,18563,cpu,0,12,-9.61,0.62285,0.837563
84,double_dqn,3,0.6709,0.68,18563,cpu,2,18,10.95,0.61943,0.311286
85,double_dqn,3,0.6813,0.68,18563,cpu,0,29,-9.88,0.61392,0.024501
86,double_dqn,3,0.6878,0.7,18563,cpu,1,18,0.64,0.6105,0.302502
87,double_dqn,3,0.69,0.7,18563,cpu,0,6,-9.95,0.60936,0.327052
88,double_dqn,3,0.7009,0.74,18563,cpu,2,31,11.12,0.60347,0.032885
89,double_dqn,3,0.7101,0.74,18563,cpu,0,26,-9.95,0.59853,0.576154
90,double_dqn,3,0.7122,0.72,18563,cpu,0,6,-9.75,0.59739,0.330085
91,double_dqn,3,0.7263,0.76,18563,cpu,3,40,20.64,0.58979,0.588971
92,double_dqn,3,0.736,0.78,18563,cpu,1,28,-0.06,0.58447,0.027752
93,double_dqn,3,0.744,0.76,18563,cpu,0,23,-10.82,0.5801,0.02797
94,double_dqn,3,0.7469,0.74,18563,cpu,0,8,-9.77,0.57858,0.309518
95,double_dqn,3,0.7515,0.78,18563,cpu,2,13,10.5,0.57611,0.018056
96,double_dqn,3,0.7607,0.78,18563,cpu,0,25,-10.04,0.57136,0.044395
97,double_dqn,3,0.7864,0.82,18563,cpu,2,72,10.41,0.55768,0.282438
98,double_dqn,3,0.7926,0.86,18563,cpu,2,17,10.66,0.55445,0.035254
99,double_dqn,3,0.7981,0.86,18563,cpu,1,15,0.57,0.5516,0.032686
100,double_dqn,3,0.8019,0.88,18563,cpu,1,11,0.21,0.54951,0.292906
101,double_dqn,3,0.8102,0.88,18563,cpu,2,23,10.4,0.54514,0.298807
102,double_dqn,3,0.8211,0.94,18563,cpu,3,30,21.14,0.53944,0.517556
103,double_dqn,3,0.8317,0.94,18563,cpu,1,29,0.23,0.53393,0.037603
104,double_dqn,3,0.8362,0.96,18563,cpu,2,12,10.81,0.53165,0.032725
105,double_dqn,3,0.8605,1.0,18563,cpu,2,67,10.76,0.51892,0.318489
106,double_dqn,3,0.8689,0.96,18563,cpu,1,23,0.29,0.51455,0.296326
107,double_dqn,3,0.8737,0.96,18563,cpu,1,13,0.99,0.51208,0.27643
108,double_dqn,3,0.8831,0.96,18563,cpu,1,26,0.36,0.50714,0.043229
109,double_dqn,3,0.8888,1.0,18563,cpu,2,16,10.97,0.5041,0.018866
110,double_dqn,3,0.8995,1.04,18563,cpu,2,30,11.43,0.4984,0.04749
111,double_dqn,3,0.9041,1.04,18563,cpu,1,13,0.39,0.49593,0.033402
112,double_dqn,3,0.909,1.02,18563,cpu,0,14,-9.83,0.49327,0.293599
113,double_dqn,3,0.9133,1.04,18563,cpu,1,12,0.5,0.49099,0.017896
114,double_dqn,3,0.9209,1.08,18563,cpu,2,21,10.62,0.487,0.015603
115,double_dqn,3,0.9288,1.1,18563,cpu,2,22,11.11,0.48282,1.050754
116,double_dqn,3,0.9409,1.12,18563,cpu,2,33,11.7,0.47655,0.334685
117,double_dqn,3,0.949,1.1,18563,cpu,1,22,0.6,0.47237,0.096317
118,double_dqn,3,0.957,1.08,18563,cpu,1,22,0.8,0.46819,0.58316
119,double_dqn,3,0.9698,1.1,18563,cpu,1,36,1.26,0.46135,0.577636
120,double_dqn,3,0.9782,1.14,18563,cpu,3,23,20.71,0.45698,1.058973
121,double_dqn,3,0.9868,1.14,18563,cpu,0,24,-9.93,0.45242,0.305239
122,double_dqn,3,0.9952,1.16,18563,cpu,2,23,10.6,0.44805,0.288282
123,double_dqn,3,0.9984,1.14,18563,cpu,0,9,-9.68,0.44634,0.319651
124,double_dqn,3,1.0067,1.16,18563,cpu,1,23,-0.31,0.44197,0.111809
125,double_dqn,3,1.0219,1.2,18563,cpu,3,42,21.62,0.43399,0.589839
126,double_dqn,3,1.0266,1.2,18563,cpu,0,13,-9.52,0.43152,0.817412
127,double_dqn,3,1.0381,1.2,18563,cpu,2,31,11.92,0.42563,0.324563
128,double_dqn,3,1.054,1.22,18563,cpu,2,45,11.38,0.41708,0.032889
129,double_dqn,3,1.058,1.22,18563,cpu,0,11,-10.3,0.41499,0.301901
130,double_dqn,3,1.0641,1.22,18563,cpu,0,17,-9.56,0.41176,0.881325
131,double_dqn,3,1.0691,1.24,18563,cpu,3,14,20.7,0.4091,0.323434
132,double_dqn,3,1.0801,1.26,18563,cpu,2,31,11.32,0.40321,0.290206
133,double_dqn,3,1.0923,1.32,18563,cpu,3,34,20.7,0.39675,0.043652
134,double_dqn,3,1.0964,1.28,18563,cpu,0,11,-9.7,0.39466,0.305272
135,double_dqn,3,1.1057,1.32,18563,cpu,2,26,10.07,0.38972,0.294143
136,double_dqn,3,1.1175,1.32,18563,cpu,1,33,0.19,0.38345,0.063963
137,double_dqn,3,1.1234,1.32,18563,cpu,0,16,-9.65,0.38041,0.12627
138,double_dqn,3,1.1399,1.34,18563,cpu,3,45,21.69,0.37186,0.340898
139,double_dqn,3,1.1487,1.36,18563,cpu,1,24,1.38,0.3673,0.566509
140,double_dqn,3,1.1614,1.4,18563,cpu,2,35,11.08,0.36065,0.095445
141,double_dqn,3,1.1775,1.4,18563,cpu,3,44,21.8,0.35229,0.318588
142,double_dqn,3,1.1844,1.42,18563,cpu,2,19,10.64,0.34868,0.259963
143,double_dqn,3,1.1873,1.42,18563,cpu,0,8,-9.77,0.34716,0.932127
144,double_dqn,3,1.2,1.46,18563,cpu,2,35,10.48,0.34051,0.28028
145,double_dqn,3,1.208,1.48,18563,cpu,3,22,20.82,0.33633,0.97631
146,double_dqn,3,1.215,1.5,18563,cpu,1,19,0.93,0.33272,0.086937
147,double_dqn,3,1.2217,1.5,18563,cpu,2,18,10.75,0.3293,0.071237
148,double_dqn,3,1.2454,1.56,18563,cpu,5,66,43.0,0.31676,0.069462
149,double_dqn,3,1.2653,1.64,18563,cpu,5,54,42.52,0.3065,0.3011
150,double_dqn,3,1.2797,1.72,18563,cpu,5,39,42.17,0.29909,0.656593
151,double_dqn,3,1.2932,1.74,18563,cpu,3,37,21.57,0.29206,0.285114
152,double_dqn,3,1.3079,1.82,18563,cpu,7,40,62.08,0.28446,0.606424
153,double_dqn,3,1.3298,1.9,18563,cpu,5,59,42.77,0.27325,0.354787
154,double_dqn,3,1.3361,1.9,18563,cpu,2,17,10.86,0.27002,0.552829
155,double_dqn,3,1.3402,1.9,18563,cpu,2,11,10.72,0.26793,0.128627
156,double_dqn,3,1.351,1.94,18563,cpu,3,30,20.94,0.26223,0.406851
157,double_dqn,3,1.3656,1.98,18563,cpu,3,40,21.64,0.25463,0.624322
158,double_dqn,3,1.3704,1.98,18563,cpu,1,13,0.59,0.25216,0.5405
159,double_dqn,3,1.3854,2.04,18563,cpu,5,41,42.15,0.24437,1.397906
160,double_dqn,3,1.4185,2.14,18563,cpu,7,90,63.98,0.22727,0.989319
161,double_dqn,3,1.4561,2.32,18563,cpu,10,102,95.59,0.20789,0.769063
162,double_dqn,3,1.4664,2.38,18563,cpu,3,28,21.36,0.20257,0.504554
163,double_dqn,3,1.4906,2.5,18563,cpu,7,65,62.93,0.19022,0.369374
164,double_dqn,3,1.5248,2.66,18563,cpu,10,92,93.69,0.17274,0.503871
165,double_dqn,3,1.5366,2.68,18563,cpu,3,31,21.63,0.16685,0.285254
166,double_dqn,3,1.5809,2.88,18563,cpu,12,114,116.09,0.14519,0.067347
167,double_dqn,3,1.595,2.96,18563,cpu,5,37,41.59,0.13816,0.073133
168,double_dqn,3,1.6086,3.04,18563,cpu,5,36,41.1,0.13132,0.658376
169,double_dqn,3,1.6257,3.12,18563,cpu,5,44,42.62,0.12296,0.130276
170,double_dqn,3,1.635,3.14,18563,cpu,4,24,31.71,0.1184,0.308635
171,double_dqn,3,1.6721,3.36,18563,cpu,11,96,105.36,0.10016,1.00856
172,double_dqn,3,1.6802,3.38,18563,cpu,3,21,21.33,0.09617,0.803985
173,double_dqn,3,1.7275,3.74,18563,cpu,18,123,177.56,0.0728,0.386479
174,double_dqn,3,1.745,3.8,18563,cpu,4,46,31.09,0.06406,0.524666
175,double_dqn,3,1.8056,4.18,18563,cpu,22,156,218.17,0.05,0.605597
176,double_dqn,3,1.8525,4.5,18563,cpu,16,122,156.45,0.05,0.368329
177,double_dqn,3,1.8908,4.7,18563,cpu,12,99,115.74,0.05,0.551302
178,double_dqn,3,1.9002,4.72,18563,cpu,3,24,21.6,0.05,0.89459
179,double_dqn,3,1.9449,5.02,18563,cpu,15,115,148.71,0.05,0.101485
180,double_dqn,3,1.9874,5.3,18563,cpu,14,109,137.06,0.05,1.272545
181,double_dqn,3,2.0001,5.28,18563,cpu,2,33,12.1,0.05,1.152827
182,double_dqn,3,2.0143,5.3,18563,cpu,3,37,20.97,0.05,0.13433
183,double_dqn,3,2.0557,5.56,18563,cpu,16,108,157.59,0.05,0.561165
184,double_dqn,3,2.1177,5.94,18563,cpu,19,161,188.69,0.05,0.523605
185,double_dqn,3,2.12,5.92,18563,cpu,1,6,0.16,0.05,0.789614
186,double_dqn,3,2.1985,6.36,18563,cpu,23,203,232.11,0.05,0.123916
187,double_dqn,3,2.2325,6.56,18563,cpu,10,88,94.33,0.05,0.492132
188,double_dqn,3,2.2631,6.72,18563,cpu,11,79,103.63,0.05,0.345575
189,double_dqn,3,2.2651,6.7,18563,cpu,0,5,-9.64,0.05,0.825518
190,double_dqn,3,2.3095,6.86,18563,cpu,10,115,95.36,0.05,0.910105
191,double_dqn,3,2.3423,6.98,18563,cpu,9,85,83.75,0.05,0.555351
192,double_dqn,3,2.3975,7.36,18563,cpu,21,141,208.51,0.05,0.88883
193,double_dqn,3,2.461,7.74,18563,cpu,19,162,190.38,0.05,1.067702
194,double_dqn,3,2.5167,8.04,18563,cpu,17,143,169.45,0.05,0.375355
195,double_dqn,3,2.5473,8.2,18563,cpu,11,79,105.43,0.05,0.70399
196,double_dqn,3,2.5723,8.38,18563,cpu,10,66,94.35,0.05,0.762459
197,double_dqn,3,2.5884,8.46,18563,cpu,6,43,52.64,0.05,0.644089
198,double_dqn,3,2.6041,8.46,18563,cpu,5,42,43.04,0.05,0.593634
199,double_dqn,3,2.6487,8.66,18563,cpu,15,117,145.29,0.05,0.242746
200,double_dqn,3,2.712,8.92,18563,cpu,18,167,179.52,0.05,1.056803
201,double_dqn,3,2.7199,8.9,18563,cpu,2,21,11.62,0.05,0.770565
202,double_dqn,3,2.7444,8.9,18563,cpu,7,65,63.73,0.05,0.712728
203,double_dqn,3,2.7711,9.02,18563,cpu,11,71,103.71,0.05,0.828823
204,double_dqn,3,2.8063,9.28,18563,cpu,15,94,145.62,0.05,0.8354
205,double_dqn,3,2.8721,9.64,18563,cpu,20,175,199.46,0.05,0.442921
206,double_dqn,3,2.918,9.92,18563,cpu,17,122,167.76,0.05,0.619712
207,double_dqn,3,3.0317,10.48,18563,cpu,31,298,314.34,0.05,0.41672
