episode,model,seed,elapsed_seconds,moving_avg_score,model_size,device,score,steps,reward,epsilon,loss
75,q_learning,3,0.0226,0.52,402,cpu,2,11,10.32,0.68664,0.0
76,q_learning,3,0.0228,0.52,402,cpu,0,17,-9.76,0.68321,0.0
77,q_learning,3,0.0234,0.56,402,cpu,2,39,10.64,0.67979,0.0
78,q_learning,3,0.0235,0.58,402,cpu,1,7,0.05,0.67639,0.0
79,q_learning,3,0.0236,0.56,402,cpu,0,6,-10.35,0.67301,0.0
80,q_learning,3,0.0238,0.56,405,cpu,0,13,-9.92,0.66965,0.0
81,q_learning,3,0.024,0.58,405,cpu,1,9,0.23,0.6663,0.0
82,q_learning,3,0.0241,0.58,405,cpu,0,6,-10.55,0.66297,0.0
83,q_learning,3,0.0244,0.6,405,cpu,1,17,0.35,0.65965,0.0
84,q_learning,3,0.0248,0.64,411,cpu,2,28,10.45,0.65635,0.0
85,q_learning,3,0.025,0.62,411,cpu,0,9,-9.88,0.65307,0.0
86,q_learning,3,0.0253,0.64,417,cpu,1,18,0.24,0.64981,0.0
87,q_learning,3,0.0255,0.64,417,cpu,1,17,0.35,0.64656,0.0
88,q_learning,3,0.0261,0.7,420,cpu,3,40,20.64,0.64333,0.0
89,q_learning,3,0.0266,0.72,423,cpu,2,32,10.61,0.64011,0.0
90,q_learning,3,0.0271,0.74,423,cpu,1,30,0.32,0.63691,0.0
91,q_learning,3,0.0273,0.74,423,cpu,1,9,0.23,0.63372,0.0
92,q_learning,3,0.0274,0.74,423,cpu,0,10,-9.99,0.63056,0.0
93,q_learning,3,0.0276,0.72,426,cpu,0,7,-9.86,0.6274,0.0
94,q_learning,3,0.0278,0.7,429,cpu,0,14,-9.63,0.62427,0.0
95,q_learning,3,0.028,0.68,429,cpu,0,11,-9.9,0.62114,0.0
96,q_learning,3,0.0282,0.68,432,cpu,0,17,-9.96,0.61804,0.0
97,q_learning,3,0.0284,0.68,432,cpu,0,10,-10.19,0.61495,0.0
98,q_learning,3,0.0286,0.68,441,cpu,2,17,10.06,0.61187,0.0
99,q_learning,3,0.0292,0.7,450,cpu,2,37,10.06,0.60881,0.0
100,q_learning,3,0.0298,0.72,450,cpu,1,41,0.51,0.60577,0.0
101,q_learning,3,0.0307,0.74,459,cpu,2,56,11.17,0.60274,0.0
102,q_learning,3,0.0311,0.76,462,cpu,2,22,10.71,0.59973,0.0
103,q_learning,3,0.0314,0.76,462,cpu,1,22,0.2,0.59673,0.0
104,q_learning,3,0.0318,0.78,462,cpu,1,22,1.0,0.59375,0.0
105,q_learning,3,0.0319,0.8,465,cpu,1,10,0.32,0.59078,0.0
106,q_learning,3,0.0323,0.82,468,cpu,1,20,0.42,0.58782,0.0
107,q_learning,3,0.0324,0.78,468,cpu,0,6,-9.95,0.58488,0.0
108,q_learning,3,0.033,0.78,471,cpu,1,36,0.86,0.58196,0.0
109,q_learning,3,0.0333,0.78,474,cpu,1,17,0.55,0.57905,0.0
110,q_learning,3,0.0335,0.76,474,cpu,0,17,-9.96,0.57615,0.0
111,q_learning,3,0.0339,0.8,480,cpu,2,20,10.93,0.57327,0.0
112,q_learning,3,0.0342,0.84,480,cpu,2,23,10.6,0.57041,0.0
113,q_learning,3,0.0344,0.84,483,cpu,0,10,-10.19,0.56756,0.0
114,q_learning,3,0.0347,0.88,483,cpu,2,17,10.46,0.56472,0.0
115,q_learning,3,0.0351,0.86,489,cpu,1,27,0.25,0.56189,0.0
116,q_learning,3,0.0353,0.84,501,cpu,1,15,0.37,0.55908,0.0
117,q_learning,3,0.0358,0.88,504,cpu,2,28,11.25,0.55629,0.0
118,q_learning,3,0.036,0.88,507,cpu,0,13,-9.52,0.55351,0.0
119,q_learning,3,0.0364,0.92,510,cpu,2,28,11.85,0.55074,0.0
120,q_learning,3,0.037,0.92,519,cpu,1,34,0.88,0.54799,0.0
121,q_learning,3,0.0374,0.92,519,cpu,0,26,-9.75,0.54525,0.0
122,q_learning,3,0.0377,0.98,519,cpu,3,19,20.55,0.54252,0.0
123,q_learning,3,0.0378,0.98,519,cpu,0,6,-9.75,0.53981,0.0
124,q_learning,3,0.0379,0.98,519,cpu,0,8,-10.37,0.53711,0.0
125,q_learning,3,0.0381,0.94,519,cpu,0,12,-9.61,0.53442,0.0
126,q_learning,3,0.0383,0.96,519,cpu,1,8,0.54,0.53175,0.0
127,q_learning,3,0.0386,0.96,522,cpu,2,24,10.89,0.52909,0.0
128,q_learning,3,0.039,0.96,522,cpu,1,23,0.89,0.52645,0.0
129,q_learning,3,0.0393,1.0,522,cpu,2,15,10.48,0.52381,0.0
130,q_learning,3,0.0394,1.0,525,cpu,0,10,-9.79,0.5212,0.0
131,q_learning,3,0.0396,1.0,528,cpu,1,13,0.59,0.51859,0.0
132,q_learning,3,0.0398,1.0,528,cpu,0,7,-9.66,0.516,0.0
133,q_learning,3,0.0401,1.0,534,cpu,1,23,0.49,0.51342,0.0
134,q_learning,3,0.0407,1.0,537,cpu,2,33,11.7,0.51085,0.0
135,q_learning,3,0.041,1.02,537,cpu,1,19,0.93,0.5083,0.0
