episode,model,seed,elapsed_seconds,moving_avg_score,model_size,device,score,steps,reward,epsilon,loss
1,dqn,3,0.0002,0.0,18563,cpu,0,19,-10.78,0.99639,0.0
2,dqn,3,0.0007,0.0,18563,cpu,0,52,-11.21,0.98651,0.0
3,dqn,3,0.0008,0.0,18563,cpu,0,6,-10.15,0.98537,0.0
4,dqn,3,0.0008,0.0,18563,cpu,0,7,-10.66,0.98404,0.0
5,dqn,3,0.0037,0.0,18563,cpu,0,23,-10.82,0.97967,0.004008
6,dqn,3,0.0131,0.0,18563,cpu,0,29,-10.08,0.97416,0.286115
7,dqn,3,0.0211,0.0,18563,cpu,0,25,-10.44,0.96941,0.52475
8,dqn,3,0.026,0.0,18563,cpu,0,15,-10.74,0.96656,1.021813
9,dqn,3,0.0292,0.0,18563,cpu,0,10,-9.39,0.96466,0.494468
10,dqn,3,0.0383,0.0,18563,cpu,0,28,-9.97,0.95934,0.30324
11,dqn,3,0.0528,0.1818,18563,cpu,2,45,10.58,0.95079,0.040619
12,dqn,3,0.0547,0.1667,18563,cpu,0,6,-10.35,0.94965,0.312348
13,dqn,3,0.0586,0.1538,18563,cpu,0,12,-10.01,0.94737,0.047176
14,dqn,3,0.0696,0.2857,18563,cpu,2,34,10.59,0.94091,0.0114
15,dqn,3,0.0731,0.2667,18563,cpu,0,11,-9.5,0.93882,0.299059
16,dqn,3,0.0844,0.25,18563,cpu,0,35,-10.54,0.93217,0.023736
17,dqn,3,0.0866,0.2353,18563,cpu,0,7,-9.66,0.93084,0.304646
18,dqn,3,0.0927,0.2222,18563,cpu,0,19,-10.38,0.92723,0.010626
19,dqn,3,0.1014,0.2105,18563,cpu,0,27,-10.66,0.9221,0.016954
20,dqn,3,0.1059,0.2,18563,cpu,0,14,-10.43,0.91944,0.281122
21,dqn,3,0.1145,0.1905,18563,cpu,0,27,-10.26,0.91431,0.016393
22,dqn,3,0.1239,0.1818,18563,cpu,0,29,-10.08,0.9088,0.293996
23,dqn,3,0.1336,0.1739,18563,cpu,0,30,-10.39,0.9031,0.025636
24,dqn,3,0.1369,0.1667,18563,cpu,0,10,-10.79,0.9012,0.273741
25,dqn,3,0.1462,0.2,18563,cpu,1,29,0.03,0.89569,0.277917
26,dqn,3,0.1523,0.1923,18563,cpu,0,19,-10.38,0.89208,0.290035
27,dqn,3,0.1555,0.1852,18563,cpu,0,10,-9.79,0.89018,0.289523
28,dqn,3,0.1581,0.1786,18563,cpu,0,8,-10.57,0.88866,0.015495
