episode,model,seed,elapsed_seconds,moving_avg_score,model_size,device,score,steps,reward,epsilon,loss
1,lightweight_snake_ddqn,2,0.0002,0.0,9412,cpu,0,14,-10.63,0.99734,0.0
2,lightweight_snake_ddqn,2,0.0003,0.0,9412,cpu,0,12,-10.21,0.99506,0.0
3,lightweight_snake_ddqn,2,0.0006,0.0,9412,cpu,0,26,-10.75,0.99012,0.0
4,lightweight_snake_ddqn,2,0.0034,0.0,9412,cpu,0,52,-11.41,0.98024,0.304831
5,lightweight_snake_ddqn,2,0.0087,0.0,9412,cpu,0,12,-10.81,0.97796,0.59337
6,lightweight_snake_ddqn,2,0.0159,0.0,9412,cpu,0,16,-10.45,0.97492,0.586874
7,lightweight_snake_ddqn,2,0.0341,0.0,9412,cpu,0,41,-11.0,0.96713,0.834567
8,lightweight_snake_ddqn,2,0.0373,0.0,9412,cpu,0,7,-10.46,0.9658,0.267355
9,lightweight_snake_ddqn,2,0.0421,0.0,9412,cpu,0,11,-10.5,0.96371,0.553808
10,lightweight_snake_ddqn,2,0.0504,0.0,9412,cpu,0,19,-10.18,0.9601,0.222462
11,lightweight_snake_ddqn,2,0.0535,0.0,9412,cpu,0,7,-10.66,0.95877,0.500746
12,lightweight_snake_ddqn,2,0.0583,0.0,9412,cpu,0,11,-10.5,0.95668,0.150873
13,lightweight_snake_ddqn,2,0.0613,0.0,9412,cpu,0,7,-10.66,0.95535,0.301517
14,lightweight_snake_ddqn,2,0.0727,0.0,9412,cpu,0,26,-10.15,0.95041,0.043223
15,lightweight_snake_ddqn,2,0.0806,0.0,9412,cpu,0,18,-10.67,0.94699,0.291485
16,lightweight_snake_ddqn,2,0.0841,0.0625,9412,cpu,1,8,0.54,0.94547,0.844084
17,lightweight_snake_ddqn,2,0.0968,0.1176,9412,cpu,1,29,-0.37,0.93996,0.322747
18,lightweight_snake_ddqn,2,0.1068,0.1111,9412,cpu,0,23,-10.62,0.93559,0.017929
19,lightweight_snake_ddqn,2,0.1217,0.1053,9412,cpu,0,34,-10.83,0.92913,0.270552
20,lightweight_snake_ddqn,2,0.1283,0.1,9412,cpu,0,15,-9.94,0.92628,0.014549
21,lightweight_snake_ddqn,2,0.1358,0.0952,9412,cpu,0,17,-10.16,0.92305,0.016905
22,lightweight_snake_ddqn,2,0.1411,0.1364,9412,cpu,1,12,-0.1,0.92077,0.289449
23,lightweight_snake_ddqn,2,0.1455,0.1304,9412,cpu,0,10,-10.39,0.91887,0.178262
24,lightweight_snake_ddqn,2,0.1567,0.125,9412,cpu,0,26,-10.55,0.91393,0.267523
25,lightweight_snake_ddqn,2,0.1623,0.12,9412,cpu,0,13,-10.92,0.91146,0.202264
26,lightweight_snake_ddqn,2,0.1724,0.1154,9412,cpu,0,23,-10.22,0.90709,0.298665
27,lightweight_snake_ddqn,2,0.184,0.1481,9412,cpu,1,26,0.36,0.90215,0.319392
28,lightweight_snake_ddqn,2,0.188,0.1429,9412,cpu,0,9,-10.48,0.90044,0.021402
29,lightweight_snake_ddqn,2,0.1906,0.1379,9412,cpu,0,6,-10.15,0.8993,0.083437
30,lightweight_snake_ddqn,2,0.2003,0.1333,9412,cpu,0,22,-10.71,0.89512,0.051491
31,lightweight_snake_ddqn,2,0.2183,0.129,9412,cpu,0,41,-10.6,0.88733,0.030487
32,lightweight_snake_ddqn,2,0.224,0.125,9412,cpu,0,13,-10.52,0.88486,0.032251
33,lightweight_snake_ddqn,2,0.2315,0.1212,9412,cpu,0,17,-10.36,0.88163,0.021245
34,lightweight_snake_ddqn,2,0.2411,0.1176,9412,cpu,0,22,-10.11,0.87745,0.032829
35,lightweight_snake_ddqn,2,0.2456,0.1143,9412,cpu,0,10,-10.59,0.87555,0.170658
36,lightweight_snake_ddqn,2,0.2482,0.1111,9412,cpu,0,6,-9.75,0.87441,0.056827
37,lightweight_snake_ddqn,2,0.2561,0.1081,9412,cpu,0,18,-10.27,0.87099,0.045736
38,lightweight_snake_ddqn,2,0.2587,0.1053,9412,cpu,0,6,-10.55,0.86985,0.01501
39,lightweight_snake_ddqn,2,0.2626,0.1026,9412,cpu,0,9,-10.88,0.86814,0.014522
40,lightweight_snake_ddqn,2,0.2697,0.1,9412,cpu,0,16,-10.25,0.8651,0.025997
41,lightweight_snake_ddqn,2,0.282,0.0976,9412,cpu,0,28,-10.77,0.85978,0.032184
42,lightweight_snake_ddqn,2,0.2846,0.0952,9412,cpu,0,6,-9.95,0.85864,0.396838
43,lightweight_snake_ddqn,2,0.2921,0.093,9412,cpu,0,17,-10.76,0.85541,0.029903
44,lightweight_snake_ddqn,2,0.3005,0.0909,9412,cpu,0,19,-10.18,0.8518,0.055268
45,lightweight_snake_ddqn,2,0.3203,0.1111,9412,cpu,1,45,0.07,0.84325,0.01463
46,lightweight_snake_ddqn,2,0.3277,0.1304,9412,cpu,1,17,0.15,0.84002,0.032991
47,lightweight_snake_ddqn,2,0.3317,0.1277,9412,cpu,0,9,-10.28,0.83831,0.270909
48,lightweight_snake_ddqn,2,0.3344,0.125,9412,cpu,0,6,-9.75,0.83717,0.017707
49,lightweight_snake_ddqn,2,0.3392,0.1224,9412,cpu,0,11,-10.1,0.83508,0.017066
50,lightweight_snake_ddqn,2,0.3441,0.16,9412,cpu,2,11,10.72,0.83299,0.031114
51,lightweight_snake_ddqn,2,0.3512,0.16,9412,cpu,0,16,-10.45,0.82995,0.318044
52,lightweight_snake_ddqn,2,0.363,0.16,9412,cpu,0,27,-10.46,0.82482,0.031371
53,lightweight_snake_ddqn,2,0.3774,0.18,9412,cpu,1,33,0.19,0.81855,0.025526
