episode,model,seed,elapsed_seconds,moving_avg_score,model_size,device,score,steps,reward,epsilon,loss
1,q_learning,2,0.0004,1.0,42,cpu,1,23,1.09,0.995,0.0
2,q_learning,2,0.0005,0.5,57,cpu,0,8,-10.37,0.99003,0.0
3,q_learning,2,0.0009,0.3333,90,cpu,0,29,-10.88,0.98507,0.0
4,q_learning,2,0.0012,0.5,129,cpu,1,22,0.2,0.98015,0.0
5,q_learning,2,0.0014,0.4,138,cpu,0,10,-10.39,0.97525,0.0
6,q_learning,2,0.0016,0.3333,150,cpu,0,14,-10.43,0.97037,0.0
7,q_learning,2,0.0017,0.2857,153,cpu,0,7,-10.66,0.96552,0.0
8,q_learning,2,0.0021,0.25,174,cpu,0,31,-10.3,0.96069,0.0
9,q_learning,2,0.0023,0.2222,177,cpu,0,7,-10.26,0.95589,0.0
10,q_learning,2,0.0025,0.2,183,cpu,0,18,-10.07,0.95111,0.0
11,q_learning,2,0.003,0.2727,213,cpu,1,35,-0.63,0.94635,0.0
12,q_learning,2,0.0035,0.3333,225,cpu,1,36,-0.14,0.94162,0.0
13,q_learning,2,0.004,0.3077,225,cpu,0,37,-10.96,0.93691,0.0
14,q_learning,2,0.0049,0.2857,237,cpu,0,63,-10.02,0.93223,0.0
15,q_learning,2,0.0052,0.3333,246,cpu,1,21,-0.29,0.92757,0.0
16,q_learning,2,0.0055,0.3125,246,cpu,0,23,-10.62,0.92293,0.0
17,q_learning,2,0.0058,0.2941,249,cpu,0,14,-10.63,0.91832,0.0
18,q_learning,2,0.0064,0.2778,252,cpu,0,46,-10.55,0.91372,0.0
19,q_learning,2,0.007,0.2632,264,cpu,0,45,-10.84,0.90916,0.0
20,q_learning,2,0.0077,0.3,270,cpu,1,44,-0.02,0.90461,0.0
21,q_learning,2,0.0077,0.2857,273,cpu,0,6,-10.55,0.90009,0.0
22,q_learning,2,0.0081,0.2727,273,cpu,0,22,-10.71,0.89559,0.0
23,q_learning,2,0.0082,0.3043,279,cpu,1,10,0.52,0.89111,0.0
24,q_learning,2,0.0086,0.2917,279,cpu,0,28,-10.57,0.88665,0.0
25,q_learning,2,0.0094,0.32,300,cpu,1,59,-0.67,0.88222,0.0
26,q_learning,2,0.0095,0.3077,306,cpu,0,6,-9.55,0.87781,0.0
27,q_learning,2,0.0097,0.2963,309,cpu,0,12,-9.81,0.87342,0.0
28,q_learning,2,0.0105,0.3214,315,cpu,1,61,-0.09,0.86905,0.0
29,q_learning,2,0.0106,0.3103,315,cpu,0,6,-10.35,0.86471,0.0
30,q_learning,2,0.0113,0.3333,321,cpu,1,46,-0.64,0.86038,0.0
31,q_learning,2,0.0115,0.3226,321,cpu,0,18,-10.47,0.85608,0.0
32,q_learning,2,0.0121,0.375,342,cpu,2,44,10.09,0.8518,0.0
33,q_learning,2,0.0123,0.3636,342,cpu,0,12,-10.21,0.84754,0.0
34,q_learning,2,0.0124,0.3529,342,cpu,0,6,-9.95,0.84331,0.0
35,q_learning,2,0.0131,0.3429,342,cpu,0,42,-10.51,0.83909,0.0
36,q_learning,2,0.0135,0.3333,345,cpu,0,33,-11.12,0.83489,0.0
37,q_learning,2,0.0138,0.3243,345,cpu,0,18,-10.07,0.83072,0.0
38,q_learning,2,0.0141,0.3421,357,cpu,1,25,0.07,0.82657,0.0
39,q_learning,2,0.0144,0.3333,357,cpu,0,21,-10.4,0.82243,0.0
40,q_learning,2,0.0146,0.325,357,cpu,0,9,-10.68,0.81832,0.0
41,q_learning,2,0.0147,0.3171,357,cpu,0,8,-10.37,0.81423,0.0
42,q_learning,2,0.0152,0.3571,384,cpu,2,32,10.61,0.81016,0.0
43,q_learning,2,0.0156,0.3721,390,cpu,1,28,0.34,0.80611,0.0
44,q_learning,2,0.016,0.3636,390,cpu,0,27,-10.86,0.80208,0.0
45,q_learning,2,0.0162,0.3778,393,cpu,1,13,0.39,0.79807,0.0
46,q_learning,2,0.0167,0.3696,393,cpu,0,38,-10.27,0.79408,0.0
47,q_learning,2,0.0169,0.3617,396,cpu,0,16,-10.45,0.7901,0.0
48,q_learning,2,0.0174,0.3542,396,cpu,0,31,-10.5,0.78615,0.0
49,q_learning,2,0.0175,0.3469,396,cpu,0,12,-9.81,0.78222,0.0
50,q_learning,2,0.0181,0.38,399,cpu,2,41,10.82,0.77831,0.0
51,q_learning,2,0.0191,0.36,399,cpu,0,70,-10.39,0.77442,0.0
52,q_learning,2,0.0193,0.38,402,cpu,1,12,-0.3,0.77055,0.0
53,q_learning,2,0.0197,0.38,402,cpu,0,27,-10.46,0.7667,0.0
54,q_learning,2,0.0201,0.38,402,cpu,1,25,-0.33,0.76286,0.0
55,q_learning,2,0.0202,0.38,405,cpu,0,11,-9.9,0.75905,0.0
56,q_learning,2,0.0204,0.38,408,cpu,0,14,-10.43,0.75525,0.0
57,q_learning,2,0.022,0.42,414,cpu,2,101,9.62,0.75148,0.0
58,q_learning,2,0.0221,0.42,414,cpu,0,6,-9.75,0.74772,0.0
59,q_learning,2,0.0224,0.44,426,cpu,1,23,0.29,0.74398,0.0
60,q_learning,2,0.0229,0.44,426,cpu,0,30,-9.99,0.74026,0.0
61,q_learning,2,0.0231,0.42,429,cpu,0,14,-10.23,0.73656,0.0
62,q_learning,2,0.0234,0.4,432,cpu,0,21,-9.8,0.73288,0.0
63,q_learning,2,0.0236,0.42,435,cpu,1,17,-0.05,0.72921,0.0
64,q_learning,2,0.0238,0.42,438,cpu,0,9,-9.88,0.72557,0.0
65,q_learning,2,0.0239,0.42,438,cpu,1,5,-0.33,0.72194,0.0
66,q_learning,2,0.0248,0.44,447,cpu,1,65,0.07,0.71833,0.0
67,q_learning,2,0.0249,0.44,450,cpu,0,8,-10.37,0.71474,0.0
68,q_learning,2,0.0257,0.48,453,cpu,2,49,10.34,0.71116,0.0
69,q_learning,2,0.0258,0.48,453,cpu,0,8,-10.57,0.70761,0.0
70,q_learning,2,0.0261,0.48,453,cpu,1,21,0.31,0.70407,0.0
71,q_learning,2,0.0268,0.5,453,cpu,1,47,-0.15,0.70055,0.0
72,q_learning,2,0.0271,0.54,456,cpu,2,16,10.97,0.69705,0.0
73,q_learning,2,0.0275,0.56,462,cpu,2,25,10.78,0.69356,0.0
74,q_learning,2,0.0278,0.56,465,cpu,0,21,-9.6,0.69009,0.0
75,q_learning,2,0.0284,0.54,468,cpu,0,36,-9.85,0.68664,0.0
76,q_learning,2,0.0291,0.58,468,cpu,2,44,10.89,0.68321,0.0
77,q_learning,2,0.0297,0.58,471,cpu,0,43,-10.42,0.67979,0.0
78,q_learning,2,0.0299,0.56,471,cpu,0,11,-9.3,0.67639,0.0
79,q_learning,2,0.0302,0.56,474,cpu,0,20,-10.09,0.67301,0.0
80,q_learning,2,0.0303,0.54,474,cpu,0,7,-10.46,0.66965,0.0
81,q_learning,2,0.0305,0.56,474,cpu,1,11,0.21,0.6663,0.0
82,q_learning,2,0.031,0.58,486,cpu,3,29,19.85,0.66297,0.0
83,q_learning,2,0.0313,0.6,486,cpu,1,17,0.35,0.65965,0.0
84,q_learning,2,0.0316,0.6,486,cpu,0,19,-9.78,0.65635,0.0
85,q_learning,2,0.0317,0.62,492,cpu,1,11,0.41,0.65307,0.0
86,q_learning,2,0.032,0.66,498,cpu,2,17,10.46,0.64981,0.0
87,q_learning,2,0.033,0.68,501,cpu,1,64,0.18,0.64656,0.0
88,q_learning,2,0.0335,0.66,501,cpu,0,37,-10.76,0.64333,0.0
89,q_learning,2,0.0337,0.66,501,cpu,0,10,-9.79,0.64011,0.0
90,q_learning,2,0.0338,0.68,501,cpu,1,8,0.54,0.63691,0.0
91,q_learning,2,0.034,0.68,501,cpu,0,14,-10.03,0.63372,0.0
92,q_learning,2,0.0346,0.7,501,cpu,3,37,20.97,0.63056,0.0
93,q_learning,2,0.0348,0.7,501,cpu,1,16,0.06,0.6274,0.0
94,q_learning,2,0.035,0.7,501,cpu,0,7,-9.46,0.62427,0.0
95,q_learning,2,0.0353,0.68,501,cpu,0,23,-10.02,0.62114,0.0
96,q_learning,2,0.0354,0.68,507,cpu,0,8,-9.97,0.61804,0.0
97,q_learning,2,0.0359,0.72,510,cpu,2,33,9.7,0.61495,0.0
98,q_learning,2,0.0367,0.76,519,cpu,2,48,10.85,0.61187,0.0
99,q_learning,2,0.0369,0.76,519,cpu,0,17,-9.76,0.60881,0.0
100,q_learning,2,0.0377,0.76,522,cpu,2,51,10.12,0.60577,0.0
101,q_learning,2,0.0381,0.78,522,cpu,1,25,0.07,0.60274,0.0
